017180171801102 201                                                                                1226062016101103   213981    0101114191094
017150171501202 201                                                                                1129112016101103   214031    0101114191033
017140171401202 201                                                                                1225062012105103   213501    0101114191081
017140171401202 202                                                                                1221082015102104   213881    0101114191081
017170171701202 201                                                                                1225102001116104   212221    010111419 860
017170171701202 202                                                                                1229042011106103   213361    010111419 860
017010170101202 201                                                                                1116062010107105   213261    0101114191027
017010170101202 202                                                                                1124122012105104   213561    0101114191027
017010170101202 203                                                                                1219012015103103   213811    0101114191027
017070170701202 201                                                                                1228061996121105   211581    010111419 879
017070170701202 202                                                                                1114062010107104   213261    010111419 879
017070170701202 203                                                                                1215102012105103   213541    010111419 879
017060170601302 201                                                                                1204112016101103   214031    0101114191040
